MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|64|9|2|RR|78.87
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|15|9|2|RR|76.57
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|74|9|2|KKR|76.41
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|52|9|2|RR|81.18
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|58|9|2|RR|78.23
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|91|9|2|DC|78.34
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|35|9|2|RR|82.89
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|100|9|2|RR|83.73
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|2|9.5|2|RCB|83.72
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|37|9.5|2|RR|91.52
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|54|9.5|2|RR|88.61
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|64|9|2|RR|78.87
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|15|9|2|RR|76.57
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|74|9|2|KKR|76.41
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|52|9|2|RR|81.18
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|58|9|2|RR|78.23
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|91|9|2|DC|78.34
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|35|9|2|RR|82.89
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|100|9|2|RR|83.73
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|2|9.5|2|RCB|83.72
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|37|9.5|2|RR|91.52
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|75|9.5|2|SRH|84.47
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|62|9.5|2|MI|91.05
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|54|9.5|2|RR|88.61
