MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|32|8|2|SRH|10.94
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|27|8|2|SRH|36.3
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|29|8|2|SRH|41.78
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|50|8|2|SRH|57.07
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|12|8|2|SRH|61.75
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|62|8.5|2|KXIP|49.22
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|18|8.5|2|RR|60.41
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|50|8.5|2|CSK|58.42
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|52|8.5|2|KKR|53.44
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|32|8|2|SRH|10.94
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|27|8|2|SRH|36.3
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|29|8|2|SRH|41.78
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|50|8|2|SRH|57.07
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|12|8|2|SRH|61.75
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|62|8.5|2|KXIP|49.22
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|18|8.5|2|RR|60.41
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|50|8.5|2|CSK|58.42
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|52|8.5|2|KKR|53.44
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|-2|8.5|2|SRH|57.34
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|6|8.5|2|SRH|47.89
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|54|8.5|2|DC|40.44
