MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|5|9|4|KXIP|77.5
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|36|9|4|KXIP|65.69
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|17|9|4|KXIP|60.12
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|13|9|4|MI|41.65
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|16|9|4|CSK|39.2
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|17|9|4|KXIP|38.02
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|24|9|4|KKR|30.04
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|4|8.5|4|KXIP|31.33
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|4|8.5|4|KXIP|36.01
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|72|8.5|4|DC|25.53
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|11|8.5|4|RR|35.75
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|5|9|4|KXIP|77.5
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|36|9|4|KXIP|65.69
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|17|9|4|KXIP|60.12
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|13|9|4|MI|41.65
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|16|9|4|CSK|39.2
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|17|9|4|KXIP|38.02
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|24|9|4|KKR|30.04
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|4|8.5|4|KXIP|31.33
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|4|8.5|4|KXIP|36.01
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|72|8.5|4|DC|25.53
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|16|8.5|4|SRH|48.7
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|25|8.5|4|KXIP|46.94
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|11|8.5|4|RR|35.75
