MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|100|9|1|CSK|51.09
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|107|9|1|CSK|77.09
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|51|9|1|CSK|85.88
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|38|9|1|SRH|84.45
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|112|9.5|1|CSK|91.81
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|40|9.5|1|CSK|87.95
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|20|10|1|RCB|84.4
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|2|10|1|CSK|81.63
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|96|10|1|CSK|83.97
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|15|10.5|1|RR|87.34
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|100|9|1|CSK|51.09
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|107|9|1|CSK|77.09
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|51|9|1|CSK|85.88
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|38|9|1|SRH|84.45
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|112|9.5|1|CSK|91.81
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|40|9.5|1|CSK|87.95
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|20|10|1|RCB|84.4
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|2|10|1|CSK|81.63
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|96|10|1|CSK|83.97
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|15|10.5|1|RR|87.34
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|5|10.5|1|MI|85.09
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|51|10|1|CSK|66.22
