MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|42|10.5|4|KKR|70.87
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|37|10.5|4|KKR|64.07
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|34|10.5|4|KKR|57.75
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|70|10.5|4|KKR|73.02
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|29|10.5|4|CSK|73.26
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|10|10.5|4|KKR|72.01
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|43|10|4|KKR|54.55
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|19|10|4|KKR|63.17
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|16|10|4|KKR|65.81
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|42|10.5|4|KKR|70.87
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|37|10.5|4|KKR|64.07
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|34|10.5|4|KKR|57.75
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|70|10.5|4|KKR|73.02
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|29|10.5|4|CSK|73.26
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|10|10.5|4|KKR|72.01
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|43|10|4|KKR|54.55
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|19|10|4|KKR|63.17
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|16|10|4|KKR|65.81
