MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|17|9.5|1|CSK|62.03
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|46|9.5|1|CSK|59.76
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|21|9.5|1|CSK|69.28
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|5|9.5|1|SRH|48.14
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|112|9|1|CSK|47.14
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|78|9|1|CSK|63.86
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|21|9|1|RCB|66.17
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|53|9|1|CSK|65.77
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|46|9|1|CSK|68.66
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|14|9|1|RR|72.14
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|17|9.5|1|CSK|62.03
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|46|9.5|1|CSK|59.76
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|21|9.5|1|CSK|69.28
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|5|9.5|1|SRH|48.14
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|112|9|1|CSK|47.14
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|78|9|1|CSK|63.86
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|21|9|1|RCB|66.17
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|53|9|1|CSK|65.77
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|46|9|1|CSK|68.66
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|14|9|1|RR|72.14
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|21|9|1|KKR|54.15
