MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|31|8.5|2|CSK|24.81
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|23|8.5|2|CSK|38.83
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|54|8.5|2|CSK|30.21
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|29|8.5|2|SRH|38.84
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|25|8.5|2|CSK|35.94
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|4|8.5|2|CSK|18.37
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|0|8.5|2|RR|3.61
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|31|8.5|2|CSK|24.81
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|23|8.5|2|CSK|38.83
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|54|8.5|2|CSK|30.21
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|29|8.5|2|SRH|38.84
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|25|8.5|2|CSK|35.94
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|4|8.5|2|CSK|18.37
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|0|8.5|2|RR|3.61
