MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|54|8.5|2|CSK|56.18
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|45|8.5|2|CSK|57.6
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|2|8.5|2|CSK|78.83
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|54|8.5|2|SRH|67.29
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|6|8.5|2|CSK|74.19
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|-2|8.5|2|CSK|72.83
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|40|8.5|2|RCB|53.38
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|6|8.5|2|CSK|51.66
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|74|8.5|2|CSK|42.71
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|66|8.5|2|RR|71.98
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|54|8.5|2|CSK|56.18
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|45|8.5|2|CSK|57.6
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|2|8.5|2|CSK|78.83
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|54|8.5|2|SRH|67.29
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|6|8.5|2|CSK|74.19
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|-2|8.5|2|CSK|72.83
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|40|8.5|2|RCB|53.38
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|6|8.5|2|CSK|51.66
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|74|8.5|2|CSK|42.71
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|66|8.5|2|RR|71.98
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|4|8.5|2|MI|60.29
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|54|8.5|2|CSK|66.95
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|0|8.5|2|KKR|75.91
