MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|83|9|2|RCB|67.89
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|30|9|2|RCB|85.52
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|23|9|2|MI|79.78
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|89|9|2|RR|71.93
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|2|9|2|DC|83.51
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|29|9|2|RCB|82.33
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|35|9|2|KKR|79.68
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|23|9|2|KXIP|65.59
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|54|9|2|RCB|73.96
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|60|9|2|RCB|80.97
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|83|9|2|RCB|67.89
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|30|9|2|RCB|85.52
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|23|9|2|MI|79.78
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|89|9|2|RR|71.93
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|2|9|2|DC|83.51
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|29|9|2|RCB|82.33
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|35|9|2|KKR|79.68
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|23|9|2|KXIP|65.59
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|54|9|2|RCB|73.96
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|60|9|2|RCB|80.97
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|31|9|2|CSK|80.6
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|52|9|2|RCB|76.29
