MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|93|8.5|2|KXIP|65.9
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|33|9|2|KXIP|82.21
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|81|9|2|KXIP|77.79
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|41|9|2|MI|77.69
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|2|9|2|CSK|86.75
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|27|9|2|KXIP|71.02
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|35|9|2|KKR|67.93
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|48|9|2|KXIP|57.02
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|54|9|2|KXIP|57.29
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|54|9|2|DC|70.79
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|-2|9|2|RR|79.12
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|93|8.5|2|KXIP|65.9
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|33|9|2|KXIP|82.21
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|81|9|2|KXIP|77.79
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|41|9|2|MI|77.69
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|2|9|2|CSK|86.75
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|27|9|2|KXIP|71.02
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|35|9|2|KKR|67.93
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|48|9|2|KXIP|57.02
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|54|9|2|KXIP|57.29
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|54|9|2|DC|70.79
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|29|9|2|SRH|79.37
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|79|9|2|KXIP|77.6
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|-2|9|2|RR|79.12
