MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|124|8.5|1|KXIP|49.65
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|42|9|1|KXIP|79.68
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|158|9|1|KXIP|90.77
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|32|9.5|1|MI|91.85
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|33|9.5|1|CSK|91.99
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|14|9.5|1|KXIP|84.68
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|76|9.5|1|KKR|84.58
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|59|9.5|1|KXIP|72.71
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|24|9.5|1|KXIP|80.17
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|25|9.5|1|DC|75.6
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|124|8.5|1|KXIP|49.65
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|42|9|1|KXIP|79.68
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|158|9|1|KXIP|90.77
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|32|9.5|1|MI|91.85
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|33|9.5|1|CSK|91.99
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|14|9.5|1|KXIP|84.68
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|76|9.5|1|KKR|84.58
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|59|9.5|1|KXIP|72.71
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|24|9.5|1|KXIP|80.17
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|25|9.5|1|DC|75.6
