MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|23|8.5|1|MI|57.34
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|59|9|1|MI|60.26
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|2|9|1|MI|60.76
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|32|9|1|MI|75.2
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|37|9|1|SRH|49.36
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|106|9|1|RR|74.69
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|79|9|1|DC|55.43
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|23|9|1|KKR|66.6
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|2|9|1|KXIP|67.95
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|23|8.5|1|MI|57.34
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|59|9|1|MI|60.26
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|2|9|1|MI|60.76
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|32|9|1|MI|75.2
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|37|9|1|SRH|49.36
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|106|9|1|RR|74.69
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|79|9|1|DC|55.43
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|23|9|1|KKR|66.6
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|2|9|1|KXIP|67.95
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|20|9|1|MI|72.86
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|50|9|1|MI|83.33
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|115|9|1|RCB|69.16
