MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|26|8.5|1|DC|51.44
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|87|8.5|1|DC|35.54
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|6|8.5|1|SRH|70.47
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|90|8.5|1|KKR|66.19
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|55|8.5|1|DC|68.64
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|27|8.5|1|DC|83.2
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|17|9|1|DC|65.87
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|2|9|1|RR|67.96
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|2|9|1|CSK|49.89
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|10|8.5|1|DC|50.52
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|26|8.5|1|DC|51.44
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|87|8.5|1|DC|35.54
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|6|8.5|1|SRH|70.47
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|90|8.5|1|KKR|66.19
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|55|8.5|1|DC|68.64
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|27|8.5|1|DC|83.2
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|17|9|1|DC|65.87
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|2|9|1|RR|67.96
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|2|9|1|CSK|49.89
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|10|8.5|1|DC|50.52
