MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|37|8|1|SRH|6.6
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|6|8|1|SRH|31.77
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|5|8|1|SRH|12.06
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|41|8|4|SRH|13.68
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|14|8|4|SRH|23.65
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|44|8|4|KXIP|46.88
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|4|8|4|RR|35.82
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|37|8|1|SRH|6.6
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|6|8|1|SRH|31.77
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|5|8|1|SRH|12.06
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|41|8|4|SRH|13.68
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|14|8|4|SRH|23.65
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|44|8|4|KXIP|46.88
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|4|8|4|RR|35.82
