MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|37|8|2|MI|31.7
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|54|8|2|MI|36.72
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|29|8|2|MI|39.19
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|54|8|2|MI|43.43
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|12|8|2|SRH|51.78
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|29|8|2|RR|40.65
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|10|8|2|DC|34.56
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|58|8|2|KKR|27.2
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|54|8|2|KXIP|51.45
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|37|8|2|MI|31.7
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|54|8|2|MI|36.72
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|29|8|2|MI|39.19
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|54|8|2|MI|43.43
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|12|8|2|SRH|51.78
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|29|8|2|RR|40.65
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|10|8|2|DC|34.56
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|58|8|2|KKR|27.2
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|54|8|2|KXIP|51.45
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|56|8.5|2|MI|33.19
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|-2|8.5|2|MI|35.33
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|33|8.5|2|RCB|40.17
