MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|17|8|1|SRH|10.91
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|4|8|1|SRH|19.88
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|12|8|1|SRH|6.4
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|77|8|1|SRH|3.2
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|12|8|1|SRH|36.52
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|22|8|1|KXIP|38.65
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|22|8|1|RR|40.93
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|21|8|1|CSK|32.41
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|24|8|1|KKR|21.73
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|17|8|1|SRH|10.91
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|4|8|1|SRH|19.88
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|12|8|1|SRH|6.4
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|77|8|1|SRH|3.2
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|12|8|1|SRH|36.52
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|22|8|1|KXIP|38.65
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|22|8|1|RR|40.93
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|21|8|1|CSK|32.41
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|24|8|1|KKR|21.73
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|4|8|1|SRH|36.03
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|7|8|1|SRH|28.53
