MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|10|8.5|1|KKR|77.72
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|91|8.5|1|KKR|75.19
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|66|8.5|1|KKR|95.19
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|44|9|1|KKR|84.61
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|24|9|1|CSK|78.52
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|82|9|1|KKR|79.21
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|43|9|1|KKR|72.04
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|27|9.5|1|KKR|77.66
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|61|9.5|1|KKR|72.35
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|5|9.5|1|RCB|68.11
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|10|8.5|1|KKR|77.72
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|91|8.5|1|KKR|75.19
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|66|8.5|1|KKR|95.19
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|44|9|1|KKR|84.61
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|24|9|1|CSK|78.52
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|82|9|1|KKR|79.21
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|43|9|1|KKR|72.04
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|27|9.5|1|KKR|77.66
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|61|9.5|1|KKR|72.35
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|5|9.5|1|RCB|68.11
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|23|9.5|1|DC|69.79
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|80|9.5|1|KXIP|67.95
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|34|9.5|1|KKR|78.18
