MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|4|8|2|KKR|17.31
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|79|8|2|KKR|11.43
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|26|8|2|KKR|31.52
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|29|8|2|CSK|24.67
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|-2|8|2|KKR|29.64
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|6|8|2|KKR|22.91
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|4|8|2|KKR|17.31
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|79|8|2|KKR|11.43
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|26|8|2|KKR|31.52
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|29|8|2|CSK|24.67
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|-2|8|2|KKR|29.64
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|6|8|2|KKR|22.91
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|14|8|2|DC|14.51
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|10|8|2|KXIP|9.46
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|-2|8|2|KKR|11.81
