MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|10|9.5|4|RR|51.17
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|45|9.5|4|RR|57.72
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|29|9.5|4|RCB|56.85
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|24|9.5|4|RR|44.38
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|132|9.5|4|RR|78.48
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|10|9.5|4|RR|51.17
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|45|9.5|4|RR|57.72
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|29|9.5|4|RCB|56.85
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|24|9.5|4|RR|44.38
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|38|9.5|4|SRH|55.85
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|163|9|4|MI|51.6
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|132|9.5|4|RR|78.48
