MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|72|8|2|KKR|21
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|4|8|2|KKR|63.87
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|64|8|2|KKR|52.9
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|7|8|2|KKR|64.47
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|25|8.5|2|CSK|53.77
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|29|8.5|2|KKR|26.56
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|23|8.5|2|KKR|31.58
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|72|8|2|KKR|21
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|4|8|2|KKR|63.87
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|64|8|2|KKR|52.9
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|7|8|2|KKR|64.47
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|25|8.5|2|CSK|53.77
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|29|8.5|2|KKR|26.56
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|23|8.5|2|KKR|31.58
