MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|56|9|2|KKR|51.94
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|39|9|2|KKR|51.46
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|46|9|2|KKR|63.81
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|4|9|2|KKR|66.66
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|24|9|2|CSK|70.35
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|9|9|2|KKR|53.47
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|3|9|2|KKR|61.86
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|72|9|2|KKR|46.67
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|29|9|2|KKR|58.94
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|22|9|2|RCB|51.93
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|56|9|2|KKR|51.94
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|39|9|2|KKR|51.46
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|46|9|2|KKR|63.81
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|4|9|2|KKR|66.66
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|24|9|2|CSK|70.35
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|9|9|2|KKR|53.47
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|3|9|2|KKR|61.86
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|72|9|2|KKR|46.67
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|29|9|2|KKR|58.94
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|22|9|2|RCB|51.93
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|83|8.5|2|DC|53.25
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|5|8.5|2|KXIP|53.75
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|54|8.5|2|KKR|59.07
