MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|101|9.5|3|SRH|77.56
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|5|9.5|3|SRH|85.08
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|85|9.5|3|SRH|81.6
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|8|9.5|3|SRH|84.43
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|43|9.5|3|SRH|72.91
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|136|9.5|3|KXIP|69.06
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|38|10|3|RR|76.8
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|37|10|3|CSK|79.77
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|47|10|3|KKR|83.61
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|101|9.5|3|SRH|77.56
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|5|9.5|3|SRH|85.08
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|85|9.5|3|SRH|81.6
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|8|9.5|3|SRH|84.43
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|43|9.5|3|SRH|72.91
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|136|9.5|3|KXIP|69.06
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|38|10|3|RR|76.8
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|37|10|3|CSK|79.77
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|47|10|3|KKR|83.61
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|17|10|3|SRH|73.98
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|39|10|3|SRH|67.64
