MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|29|8.5|2|MI|42.49
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|62|8.5|2|MI|50.05
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|54|8.5|2|MI|46.38
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|33|8.5|2|MI|60.48
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|54|8.5|2|SRH|49.36
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|54|8.5|2|RR|54.95
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|35|8.5|2|DC|52.86
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|29|8.5|2|KKR|63.93
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|6|8.5|2|KXIP|61.58
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|29|8.5|2|MI|42.49
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|62|8.5|2|MI|50.05
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|54|8.5|2|MI|46.38
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|33|8.5|2|MI|60.48
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|54|8.5|2|SRH|49.36
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|54|8.5|2|RR|54.95
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|35|8.5|2|DC|52.86
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|29|8.5|2|KKR|63.93
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|6|8.5|2|KXIP|61.58
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|124|8.5|2|MI|50.7
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|2|9|2|MI|75.81
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|35|9|2|RCB|60.45
