MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|11|10.5|1|SRH|72.2
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|52|10.5|1|SRH|82.86
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|56|10.5|1|SRH|78.53
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|43|10.5|1|SRH|78.95
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|81|10.5|1|SRH|74.02
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|85|10.5|1|KXIP|74.95
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|59|10.5|1|RR|75.37
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|19|10.5|1|CSK|74.77
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|56|10.5|1|KKR|77.41
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|11|10.5|1|SRH|72.2
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|52|10.5|1|SRH|82.86
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|56|10.5|1|SRH|78.53
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|43|10.5|1|SRH|78.95
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|81|10.5|1|SRH|74.02
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|85|10.5|1|KXIP|74.95
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|59|10.5|1|RR|75.37
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|19|10.5|1|CSK|74.77
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|56|10.5|1|KKR|77.41
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|17|10.5|1|SRH|76.95
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|62|10|1|SRH|77.96
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|106|10|1|DC|74.66
