MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|7|8|2|DC|8.68
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|56|8|2|DC|15.17
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|13|8|2|SRH|55.96
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|87|8|2|KKR|20.89
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|56|8|2|DC|59.61
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|29|8.5|2|DC|47.78
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|4|8.5|2|DC|41.51
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|54|8.5|2|RR|45.16
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|58|8.5|2|CSK|58.84
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|7|8|2|DC|8.68
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|56|8|2|DC|15.17
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|13|8|2|SRH|55.96
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|87|8|2|KKR|20.89
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|56|8|2|DC|59.61
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|29|8.5|2|DC|47.78
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|4|8.5|2|DC|41.51
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|54|8.5|2|RR|45.16
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|58|8.5|2|CSK|58.84
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|54|8.5|2|DC|47.41
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|28|8.5|2|DC|65.39
