MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|145|9.5|3|RR|70.93
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|123|9.5|3|RR|80.56
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|21|9.5|3|KKR|86.68
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|9|9.5|3|RR|80.86
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|10|9.5|3|RR|74.81
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|9|9.5|3|DC|79.14
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|41|9.5|3|RR|59.07
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|33|9.5|3|RR|64.87
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|15|9.5|3|RCB|52.98
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|16|9|3|RR|58.84
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|62|9|3|RR|65.23
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|145|9.5|3|RR|70.93
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|123|9.5|3|RR|80.56
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|21|9.5|3|KKR|86.68
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|9|9.5|3|RR|80.86
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|10|9.5|3|RR|74.81
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|9|9.5|3|DC|79.14
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|41|9.5|3|RR|59.07
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|33|9.5|3|RR|64.87
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|15|9.5|3|RCB|52.98
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|16|9|3|RR|58.84
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|45|9|3|SRH|48.01
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|76|9|3|MI|49.55
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|62|9|3|RR|65.23
