MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|4|8|1|MI|7.75
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|4|8|1|RR|9.63
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|20|8|1|RCB|5.52
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|24|8|1|RCB|5.98
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|43|8|1|RCB|4.96
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|4|8|1|MI|7.75
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|4|8|1|RR|9.63
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|20|8|1|RCB|5.52
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|24|8|1|RCB|5.98
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|43|8|1|RCB|4.96
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|6|8|1|CSK|12.54
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|28|8|1|RCB|12.01
