MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|37|8|2|KKR|9.81
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|62|8|2|KKR|31.61
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|31|8|2|KKR|24.38
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|30|8|2|CSK|35.59
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|4|8|2|KKR|47.54
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|11|8|2|KKR|38.89
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|31|8|2|KKR|38.85
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|29|8|2|KKR|54.82
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|4|8.5|2|RCB|34.98
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|37|8|2|KKR|9.81
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|62|8|2|KKR|31.61
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|31|8|2|KKR|24.38
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|30|8|2|CSK|35.59
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|4|8|2|KKR|47.54
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|11|8|2|KKR|38.89
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|31|8|2|KKR|38.85
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|29|8|2|KKR|54.82
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|4|8.5|2|RCB|34.98
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|147|8.5|2|DC|23.25
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|31|8.5|2|KXIP|46.39
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|56|8.5|2|KKR|61.7
