MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|103|9|4|RCB|26.81
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|66|9|4|KKR|58.6
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|38|9|4|KXIP|57.06
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|120|9|4|RCB|58.89
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|30|9.5|4|RCB|83.57
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|103|9|4|RCB|26.81
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|66|9|4|KKR|58.6
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|38|9|4|KXIP|57.06
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|120|9|4|RCB|58.89
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|30|9.5|4|RCB|83.57
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|29|9.5|4|CSK|63.76
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|48|9.5|4|RCB|59.81
