MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|11|8|4|RR|22.44
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|2|8|4|RR|15.73
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|13|8|4|KKR|10.21
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|21|8|4|RR|12.35
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|52|8|1|RR|13.57
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|5|8|1|RR|26.59
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|4|8|1|RCB|33.24
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|4|8|1|RR|13.2
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|4|8|1|RR|19.23
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|11|8|4|RR|22.44
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|2|8|4|RR|15.73
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|13|8|4|KKR|10.21
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|21|8|4|RR|12.35
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|52|8|1|RR|13.57
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|5|8|1|RR|26.59
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|4|8|1|RCB|33.24
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|4|8|1|RR|13.2
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|28|8|1|SRH|24.31
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|4|8|1|MI|17.81
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|4|8|1|RR|19.23
