MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|76|8|1|RCB|30
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|5|8|1|RCB|68.9
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|83|8|1|MI|61.12
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|99|8.5|1|RR|83.01
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|16|8.5|1|DC|80.21
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|49|8.5|1|RCB|75.5
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|50|8.5|1|KKR|70.96
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|31|8.5|1|KXIP|82.73
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|41|8.5|1|RCB|82.5
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|40|9|1|RCB|69.24
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|76|8|1|RCB|30
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|5|8|1|RCB|68.9
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|83|8|1|MI|61.12
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|99|8.5|1|RR|83.01
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|16|8.5|1|DC|80.21
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|49|8.5|1|RCB|75.5
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|50|8.5|1|KKR|70.96
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|31|8.5|1|KXIP|82.73
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|41|8.5|1|RCB|82.5
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|40|9|1|RCB|69.24
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|30|9|1|CSK|72.82
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|108|9|1|RCB|74.69
