MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|42|9.5|3|MI|64.6
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|33|9.5|3|MI|79.81
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|19|9.5|3|MI|85.39
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|10|9.5|3|MI|48.56
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|99|9.5|3|SRH|46.02
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|56|9|3|RR|56.27
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|75|9|3|DC|69.68
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|121|9|3|KKR|75.55
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|80|9|3|KXIP|74.5
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|42|9.5|3|MI|64.6
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|33|9.5|3|MI|79.81
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|19|9.5|3|MI|85.39
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|10|9.5|3|MI|48.56
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|99|9.5|3|SRH|46.02
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|56|9|3|RR|56.27
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|75|9|3|DC|69.68
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|121|9|3|KKR|75.55
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|80|9|3|KXIP|74.5
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|95|9.5|3|MI|82.32
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|12|10|3|MI|81.03
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|36|10|3|RCB|68.72
