MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|27|8|2|RR|13.3
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|31|8|2|DC|22.06
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|27|8|2|RR|32.48
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|45|8|2|RR|24.84
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|29|8|2|RCB|44.04
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|29|8|2|RR|40.54
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|-2|8|2|RR|19.61
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|27|8|2|RR|13.3
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|31|8|2|DC|22.06
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|27|8|2|RR|32.48
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|45|8|2|RR|24.84
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|29|8|2|RCB|44.04
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|29|8|2|RR|40.54
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|-2|8|2|SRH|48.1
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|23|8|2|MI|14.81
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|-2|8|2|RR|19.61
