MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|126|8.5|4|DC|38.34
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|10|8.5|4|DC|74.03
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|16|8.5|4|SRH|78.24
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|24|8.5|4|KKR|64.01
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|83|8.5|4|DC|56.82
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|101|9|4|DC|69.51
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|38|9|4|DC|73.06
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|23|9|4|RR|74.34
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|33|9|4|CSK|69.39
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|13|9|4|DC|65.56
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|126|8.5|4|DC|38.34
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|10|8.5|4|DC|74.03
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|16|8.5|4|SRH|78.24
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|24|8.5|4|KKR|64.01
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|83|8.5|4|DC|56.82
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|101|9|4|DC|69.51
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|38|9|4|DC|73.06
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|23|9|4|RR|74.34
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|33|9|4|CSK|69.39
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|13|9|4|DC|65.56
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|56|9|4|DC|69.65
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|10|9|4|DC|57.64
