MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|18|8|1|KXIP|10.45
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|12|8|1|KXIP|12.3
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|12|8|1|KXIP|29.88
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|12|8|1|MI|21.33
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|20|8|1|CSK|8.77
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|18|8|1|KXIP|10.45
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|12|8|1|KXIP|12.3
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|12|8|1|KXIP|29.88
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|12|8|1|MI|21.33
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|20|8|1|CSK|8.77
