MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|27|8|2|RR|10.48
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|36|8|2|KKR|18.23
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|0|8|2|RR|10.16
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|4|8|2|RR|0.72
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|27|8|2|RR|10.48
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|36|8|2|KKR|18.23
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|0|8|2|RR|10.16
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|4|8|2|RR|0.72
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|4|8|2|SRH|8.99
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|-2|8|2|MI|4.85
