MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|27|8.5|4|SRH|35.22
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|10|8|4|RR|21.46
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|18|8|4|CSK|22.21
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|44|8|4|KKR|26.53
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|27|8.5|4|SRH|35.22
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|10|8|4|RR|21.46
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|18|8|4|CSK|22.21
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|44|8|4|KKR|26.53
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|97|8|4|SRH|20.15
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|46|8|4|SRH|50.14
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|29|8|4|DC|45.22
