MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|70|7.5|2|KXIP|16.71
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|37|7.5|2|KKR|28.73
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|27|8|2|KXIP|40.68
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|48|8|2|KXIP|30.87
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|2|8|2|DC|53.03
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|-2|8|2|RR|27.84
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|70|7.5|2|KXIP|16.71
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|37|7.5|2|KKR|28.73
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|27|8|2|KXIP|40.68
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|48|8|2|KXIP|30.87
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|2|8|2|DC|53.03
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|81|8|2|SRH|32.48
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|2|8|2|KXIP|33.78
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|-2|8|2|RR|27.84
