MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|12|8|2|SRH|24.64
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|50|8|2|SRH|13.21
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|4|8|2|KXIP|28.8
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|4|8|2|RR|23.85
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|59|8|2|CSK|16.83
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|4|8|2|KKR|37.68
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|12|8|2|SRH|24.64
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|50|8|2|SRH|13.21
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|4|8|2|KXIP|28.8
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|4|8|2|RR|23.85
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|59|8|2|CSK|16.83
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|4|8|2|KKR|37.68
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|4|8|2|SRH|35.81
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|54|8|2|SRH|26.09
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|54|8|2|DC|39.66
