MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|41|8.5|4|DC|29.16
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|39|8.5|4|DC|17.39
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|17|8.5|4|SRH|47.82
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|58|8.5|4|DC|13.1
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|62|8.5|4|DC|25.52
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|37|8.5|4|DC|27.01
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|49|8.5|4|RR|33.77
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|33|8.5|4|CSK|23.16
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|29|8.5|4|DC|51.34
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|41|8.5|4|DC|29.16
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|39|8.5|4|DC|17.39
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|17|8.5|4|SRH|47.82
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|58|8.5|4|DC|13.1
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|62|8.5|4|DC|25.52
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|37|8.5|4|DC|27.01
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|49|8.5|4|RR|33.77
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|33|8.5|4|CSK|23.16
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|29|8.5|4|DC|51.34
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|23|8.5|4|DC|50.96
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|11|8.5|4|DC|40.86
