MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|30|9|2|MI|81.91
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|54|9|2|MI|63.31
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|0|9|2|MI|64.66
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|58|9|2|MI|51.18
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|50|9|2|SRH|58.57
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|114|9|2|RR|53.46
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|4|9|2|DC|72.71
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|31|9|2|KKR|76.44
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|81|9|2|KXIP|64.44
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|30|9|2|MI|81.91
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|54|9|2|MI|63.31
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|0|9|2|MI|64.66
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|58|9|2|MI|51.18
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|50|9|2|SRH|58.57
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|114|9|2|RR|53.46
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|4|9|2|DC|72.71
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|31|9|2|KKR|76.44
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|81|9|2|KXIP|64.44
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|54|9|2|MI|83.88
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|2|9|2|MI|81.77
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|93|9|2|RCB|71.65
