MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|49|10.5|3|KXIP|87.6
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|180|10.5|3|KXIP|89.01
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|98|10.5|3|KXIP|87.6
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|22|10.5|3|MI|84.29
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|84|10.5|3|CSK|89.51
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|13|11|3|KXIP|80.85
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|92|11|3|KKR|83.38
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|100|11|3|KXIP|69.47
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|102|11|3|KXIP|78.01
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|30|11|3|DC|82.74
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|57|11|3|RR|84.54
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|49|10.5|3|KXIP|87.6
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|180|10.5|3|KXIP|89.01
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|98|10.5|3|KXIP|87.6
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|22|10.5|3|MI|84.29
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|84|10.5|3|CSK|89.51
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|13|11|3|KXIP|80.85
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|92|11|3|KKR|83.38
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|100|11|3|KXIP|69.47
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|102|11|3|KXIP|78.01
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|30|11|3|DC|82.74
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|51|11|3|SRH|83.8
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|52|11|3|KXIP|89.57
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|57|11|3|RR|84.54
