MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|56|8.5|2|KXIP|29.99
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|56|8.5|2|KXIP|44.39
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|23|8.5|2|KXIP|55.45
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|39|8.5|2|MI|39.62
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|2|8.5|2|CSK|58.52
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|0|8.5|2|KXIP|44.77
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|56|8.5|2|KXIP|29.99
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|56|8.5|2|KXIP|44.39
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|23|8.5|2|KXIP|55.45
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|39|8.5|2|MI|39.62
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|2|8.5|2|CSK|58.52
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|0|8.5|2|KXIP|44.77
