MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|19|8.5|2|KXIP|20.2
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|-2|8.5|2|CSK|13.13
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|2|8.5|2|KKR|11.42
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|37|8.5|2|KXIP|8.69
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|40|8.5|2|KXIP|11.13
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|23|8.5|2|RR|26.68
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|19|8.5|2|KXIP|20.2
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|-2|8.5|2|CSK|13.13
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|2|8.5|2|KKR|11.42
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|37|8.5|2|KXIP|8.69
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|40|8.5|2|KXIP|11.13
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|106|8.5|2|SRH|14.82
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|54|8.5|2|KXIP|33.58
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|23|8.5|2|RR|26.68
