MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|12|8|1|KXIP|18.12
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|38|8|1|KXIP|11.21
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|18|8|1|DC|18.42
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|13|8|1|RR|10.52
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|12|8|1|KXIP|18.12
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|38|8|1|KXIP|11.21
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|18|8|1|DC|18.42
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|2|8|1|SRH|19.98
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|4|8|1|KXIP|9.43
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|13|8|1|RR|10.52
