MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|57|9|1|DC|82.17
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|31|9.5|1|DC|82.8
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|23|9.5|1|SRH|75.74
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|119|9.5|1|KKR|77.48
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|24|9.5|1|DC|84.32
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|38|9.5|1|DC|88.11
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|59|9.5|1|DC|79.56
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|72|9.5|1|RR|84.81
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|30|9.5|1|CSK|75.39
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|20|9.5|1|DC|71.87
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|57|9|1|DC|82.17
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|31|9.5|1|DC|82.8
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|23|9.5|1|SRH|75.74
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|119|9.5|1|KKR|77.48
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|24|9.5|1|DC|84.32
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|38|9.5|1|DC|88.11
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|59|9.5|1|DC|79.56
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|72|9.5|1|RR|84.81
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|30|9.5|1|CSK|75.39
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|20|9.5|1|DC|71.87
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|56|9.5|1|DC|78.48
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|15|9.5|1|DC|72.85
