MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|3|8.5|2|KKR|56.81
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|4|8.5|2|KKR|38.17
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|29|8.5|2|KKR|23.38
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|6|8.5|2|KKR|17.78
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|17|8.5|2|RCB|15.27
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|3|8.5|2|KKR|56.81
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|4|8.5|2|KKR|38.17
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|29|8.5|2|KKR|23.38
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|6|8.5|2|KKR|17.78
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|17|8.5|2|RCB|15.27
