MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|62|9|2|DC|78.17
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|87|9|2|DC|88.27
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|82|9.5|2|SRH|79.98
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|23|9.5|2|KKR|84.16
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|114|9.5|2|DC|76.24
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|87|9.5|2|DC|80.32
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|62|9.5|2|DC|83.21
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|29|9.5|2|RR|86.57
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|37|9.5|2|CSK|90.17
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|54|9.5|2|DC|80.59
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|62|9|2|DC|78.17
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|87|9|2|DC|88.27
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|82|9.5|2|SRH|79.98
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|23|9.5|2|KKR|84.16
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|114|9.5|2|DC|76.24
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|87|9.5|2|DC|80.32
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|62|9.5|2|DC|83.21
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|29|9.5|2|RR|86.57
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|37|9.5|2|CSK|90.17
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|54|9.5|2|DC|80.59
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|72|9.5|2|DC|90.03
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|1|10|2|DC|83.72
