MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|20|9.5|3|CSK|66.13
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|47|9.5|3|CSK|58.27
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|41|9.5|3|CSK|62.94
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|71|9.5|3|SRH|50.75
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|12|9.5|3|CSK|58.72
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|54|9.5|3|CSK|77.45
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|32|9.5|3|RCB|54.57
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|29|9.5|3|CSK|50.01
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|7|9|3|CSK|81.06
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|50|9|3|RR|40.02
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|20|9.5|3|CSK|66.13
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|47|9.5|3|CSK|58.27
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|41|9.5|3|CSK|62.94
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|71|9.5|3|SRH|50.75
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|12|9.5|3|CSK|58.72
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|54|9.5|3|CSK|77.45
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|32|9.5|3|RCB|54.57
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|29|9.5|3|CSK|50.01
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|7|9|3|CSK|81.06
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|50|9|3|RR|40.02
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|24|9|3|MI|44.38
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|26|9|3|CSK|43.33
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|5|9|3|KKR|67.48
