MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|16|8.5|1|DC|32.42
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|12|8.5|1|DC|26.83
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|29|8.5|1|SRH|21.84
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|21|8.5|1|KKR|26.79
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|25|8.5|1|DC|16.36
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|84|8.5|1|DC|27.08
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|16|8.5|1|DC|22.2
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|16|8.5|1|DC|32.42
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|12|8.5|1|DC|26.83
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|29|8.5|1|SRH|21.84
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|21|8.5|1|KKR|26.79
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|25|8.5|1|DC|16.36
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|84|8.5|1|DC|27.08
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|16|8.5|1|DC|22.2
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|16|8.5|1|DC|21.06
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|23|8.5|1|DC|26.58
