MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|39|9|3|KKR|47.42
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|8|9|3|KKR|51.31
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|21|9|3|KKR|42.41
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|10|9|3|KKR|36.92
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|25|8.5|3|CSK|41.29
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|82|8.5|3|KKR|25
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|5|8.5|3|KKR|52.54
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|17|8.5|3|KKR|43.69
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|39|8.5|3|KKR|47.36
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|10|8.5|3|RCB|50.29
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|39|9|3|KKR|47.42
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|8|9|3|KKR|51.31
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|21|9|3|KKR|42.41
16|10/3/20|7:30:00|Sharjah|DC|KKR|DC|KKR|18 runs|10|9|3|KKR|36.92
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|25|8.5|3|CSK|41.29
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|82|8.5|3|KKR|25
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|5|8.5|3|KKR|52.54
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|17|8.5|3|KKR|43.69
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|39|8.5|3|KKR|47.36
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|10|8.5|3|RCB|50.29
42|10/24/20|3:30:00|Abu Dhabi|KKR|DC|KKR|DC|59 runs|7|8.5|3|DC|57.09
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|2|8.5|3|KXIP|36.22
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|28|8.5|3|KKR|47.84
