MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|29|8.5|2|SRH|20.14
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|52|8.5|2|CSK|19.19
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|62|8.5|2|CSK|35
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|53|8.5|2|RCB|56.96
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|39|8.5|2|CSK|52.68
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|27|8.5|2|CSK|46.5
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|4|8.5|2|RR|45.81
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|29|8.5|2|SRH|20.14
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|52|8.5|2|CSK|19.19
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|62|8.5|2|CSK|35
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|53|8.5|2|RCB|56.96
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|39|8.5|2|CSK|52.68
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|27|8.5|2|CSK|46.5
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|4|8.5|2|RR|45.81
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|9|8.5|2|MI|22.39
