MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|88|8|4|RR|10.71
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|79|8.5|4|RR|61.93
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|45|8.5|4|KKR|71.71
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|34|8.5|4|RR|64.41
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|18|8.5|4|RR|54.12
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|98|8.5|4|DC|56.29
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|65|8.5|4|RR|68.12
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|27|8.5|4|RR|68.84
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|59|9|4|RCB|52.51
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|41|9.5|4|RR|60.29
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|20|9|4|RR|49.19
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|88|8|4|RR|10.71
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|79|8.5|4|RR|61.93
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|45|8.5|4|KKR|71.71
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|34|8.5|4|RR|64.41
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|18|8.5|4|RR|54.12
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|98|8.5|4|DC|56.29
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|65|8.5|4|RR|68.12
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|27|8.5|4|RR|68.84
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|59|9|4|RCB|52.51
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|41|9.5|4|RR|60.29
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|6|9.5|4|SRH|62.19
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|4|9|4|MI|54.53
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|20|9|4|RR|49.19
