MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|27|8.5|2|RR|43.79
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|8|8.5|2|RR|26.18
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|5|8.5|2|KKR|29.3
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|29|8.5|2|RR|21.8
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|63|8.5|2|RR|17.7
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|0|8.5|2|DC|27.35
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|4|8.5|2|RR|30.64
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|36|8.5|2|RR|22.25
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|29|8.5|2|RCB|32.2
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|35|8.5|2|RR|31.29
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|4|8.5|2|RR|33
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|27|8.5|2|RR|43.79
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|8|8.5|2|RR|26.18
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|5|8.5|2|KKR|29.3
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|29|8.5|2|RR|21.8
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|63|8.5|2|RR|17.7
23|10/9/20|7:30:00|Sharjah|RR|DC|DC|RR|46 runs|0|8.5|2|DC|27.35
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|4|8.5|2|RR|30.64
30|10/14/20|7:30:00|Dubai|DC|RR|DC|RR|13 runs|36|8.5|2|RR|22.25
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|29|8.5|2|RCB|32.2
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|35|8.5|2|RR|31.29
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|4|8.5|2|SRH|37.73
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|54|8.5|2|MI|21.57
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|4|8.5|2|RR|33
