MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|27|7.5|1|SRH|12.75
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|41|8|1|SRH|10.78
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|23|8|1|SRH|20.13
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|13|8|4|KXIP|46.52
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|31|8|4|KKR|28.19
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|27|7.5|1|SRH|12.75
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|41|8|1|SRH|10.78
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|23|8|1|SRH|20.13
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|13|8|4|KXIP|46.52
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|31|8|4|KKR|28.19
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|4|8|4|SRH|20.43
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|12|8|4|SRH|12.79
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|12|8|4|DC|9.2
