MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|31|8|2|KXIP|14.7
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|95|8|2|KXIP|33.21
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|4|8|2|KXIP|52.62
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|3|8|2|MI|63.59
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|4|8|2|CSK|44.82
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|84|8.5|2|KXIP|40.2
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|29|8.5|2|KKR|67.29
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|2|8.5|2|KXIP|52.94
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|31|8.5|2|KXIP|40.93
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|4|8.5|2|DC|39.95
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|4|8.5|2|RR|41.1
2|9/20/20|7:30:00|Dubai|DC|KXIP|DC|KXIP|2 wickets)|31|8|2|KXIP|14.7
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|95|8|2|KXIP|33.21
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|4|8|2|KXIP|52.62
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|3|8|2|MI|63.59
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|4|8|2|CSK|44.82
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|84|8.5|2|KXIP|40.2
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|29|8.5|2|KKR|67.29
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|2|8.5|2|KXIP|52.94
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|31|8.5|2|KXIP|40.93
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|4|8.5|2|DC|39.95
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|47|8.5|2|SRH|36.35
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|64|8.5|2|KXIP|37.56
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|4|8.5|2|RR|41.1
