MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|42|8.5|2|RR|26.86
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|30|8.5|2|RR|25.49
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|97|8.5|2|KKR|40.6
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|-2|8.5|2|RR|53.85
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|16|8.5|2|RR|33.16
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|42|8.5|2|RR|26.86
9|9/27/20|7:30:00|Sharjah|RR|KXIP|RR|KXIP|4 wickets|30|8.5|2|RR|25.49
12|9/30/20|7:30:00|Dubai|RR|KKR|KKR|RR|37 runs|97|8.5|2|KKR|40.6
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|-2|8.5|2|RR|53.85
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|16|8.5|2|RR|33.16
