MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|4|9|4|SRH|42.91
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|2|9|4|CSK|36.58
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|77|9|4|CSK|23.23
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|9|8.5|4|RCB|36.36
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|72|8.5|4|CSK|39.59
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|29|8.5|4|CSK|23.44
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|4|9|4|SRH|42.91
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|2|9|4|CSK|36.58
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|77|9|4|CSK|23.23
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|9|8.5|4|RCB|36.36
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|72|8.5|4|CSK|39.59
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|29|8.5|4|CSK|23.44
