MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|76|9|1|KXIP|54.71
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|33|9|1|KXIP|73.04
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|40|9|1|DC|71.07
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|133|9|1|RR|90.41
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|76|9|1|KXIP|54.71
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|33|9|1|KXIP|73.04
38|10/20/20|7:30:00|Dubai|KXIP|DC|KXIP|DC|5 wickets|40|9|1|DC|71.07
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|28|9|1|SRH|84.45
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|83|9|1|KXIP|83.42
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|133|9|1|RR|90.41
