MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|25|9|4|MI|43.19
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|51|9|4|MI|31.78
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|101|9|4|MI|39.27
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|62|9|4|MI|63.73
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|43|9|4|SRH|78.51
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|39|9.5|4|RR|65.68
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|16|9.5|4|DC|58.85
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|12|9.5|4|KKR|64.78
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|47|9.5|4|KXIP|52.16
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|25|9|4|MI|43.19
5|9/23/20|7:30:00|Abu Dhabi|KKR|MI|MI|KKR|49 runs|51|9|4|MI|31.78
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|101|9|4|MI|39.27
13|10/1/20|7:30:00|Abu Dhabi|KXIP|MI|MI|KXIP|48 runs|62|9|4|MI|63.73
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|43|9|4|SRH|78.51
20|10/6/20|7:30:00|Abu Dhabi|MI|RR|MI|RR|57 runs|39|9.5|4|RR|65.68
27|10/11/20|7:30:00|Abu Dhabi|MI|DC|MI|DC|5 wickets|16|9.5|4|DC|58.85
32|10/16/20|7:30:00|Abu Dhabi|MI|KKR|MI|KKR|8 wickets|12|9.5|4|KKR|64.78
36|10/18/20|7:30:00|Dubai|MI|KXIP|KXIP|MI|2 wickets)|47|9.5|4|KXIP|52.16
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|4|9.5|4|MI|63.53
45|10/25/20|7:30:00|Abu Dhabi|RR|MI|RR|MI|8 wickets|18|9|4|MI|53.55
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|34|9|4|RCB|50.91
