MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|71|10|1|RCB|66.42
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|46|10|1|RCB|83.75
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|87|10|1|MI|79.16
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|17|10|3|RR|82.48
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|23|10|3|DC|86.92
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|10|10|3|RCB|85.89
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|108|10|3|KKR|87.06
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|12|10|3|KXIP|79.16
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|88|10|3|RCB|73.15
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|20|10|3|RCB|89.49
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|71|10|1|RCB|66.42
6|9/24/20|7:30:00|Dubai|KXIP|RCB|KXIP|RCB|97 runs|46|10|1|RCB|83.75
10|9/28/20|7:30:00|Dubai|RCB|MI|RCB|MI|2 wickets)|87|10|1|MI|79.16
15|10/3/20|3:30:00|Abu Dhabi|RCB|RR|RCB|RR|8 wickets|17|10|3|RR|82.48
19|10/5/20|7:30:00|Dubai|RCB|DC|DC|RCB|59 runs|23|10|3|DC|86.92
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|10|10|3|RCB|85.89
28|10/12/20|7:30:00|Sharjah|RCB|KKR|RCB|KKR|82 runs|108|10|3|KKR|87.06
31|10/15/20|7:30:00|Sharjah|RCB|KXIP|KXIP|RCB|8 wickets|12|10|3|KXIP|79.16
33|10/17/20|3:30:00|Dubai|RR|RCB|RCB|RR|7 wickets|88|10|3|RCB|73.15
39|10/21/20|7:30:00|Abu Dhabi|KKR|RCB|RCB|KKR|8 wickets|20|10|3|RCB|89.49
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|47|10|3|CSK|83.37
48|10/28/20|7:30:00|Abu Dhabi|MI|RCB|MI|RCB|5 wickets|22|10|3|RCB|79.03
