MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|62|8.5|4|CSK|64.64
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|3|8.5|4|CSK|68.66
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|13|9|4|CSK|44.99
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|71|9|4|SRH|31.47
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|37|9|4|CSK|47.38
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|44|9|4|CSK|37.01
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|18|9|4|RCB|31.42
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|75|9|4|CSK|36.61
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|45|9|4|CSK|38.02
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|43|9|4|RR|46.1
1|9/19/20|7:30:00|Abu Dhabi|MI|CSK|CSK|MI|5 wickets|62|8.5|4|CSK|64.64
4|9/22/20|7:30:00|Sharjah|RR|CSK|RR|CSK|16 runs|3|8.5|4|CSK|68.66
7|9/25/20|7:30:00|Dubai|CSK|DC|DC|CSK|44 runs|13|9|4|CSK|44.99
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|71|9|4|SRH|31.47
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|37|9|4|CSK|47.38
21|10/7/20|7:30:00|Abu Dhabi|KKR|CSK|KKR|CSK|10 runs|44|9|4|CSK|37.01
25|10/10/20|7:30:00|Dubai|CSK|RCB|RCB|CSK|37 runs|18|9|4|RCB|31.42
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|75|9|4|CSK|36.61
34|10/17/20|7:30:00|Sharjah|DC|CSK|DC|CSK|5 wickets|45|9|4|CSK|38.02
37|10/19/20|7:30:00|Abu Dhabi|CSK|RR|RR|CSK|7 wickets|43|9|4|RR|46.1
41|10/23/20|7:30:00|Sharjah|CSK|MI|MI|CSK|10 wickets|12|9|4|MI|50.28
44|10/25/20|3:30:00|Dubai|RCB|CSK|CSK|RCB|8 wickets|4|9|4|CSK|36.12
49|10/29/20|7:30:00|Dubai|CSK|KKR|CSK|KKR|6 wickets|76|9|4|KKR|38.86
