MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|19|9.5|2|SRH|67.4
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|29|9.5|2|SRH|57.47
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|85|9.5|2|SRH|56.86
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|10|9.5|2|SRH|77.75
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|42|9.5|2|SRH|55.79
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|93|9.5|2|KXIP|63.94
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|54|9.5|2|RR|71.23
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|21|9.5|2|CSK|75.02
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|30|9.5|2|KKR|73.98
3|9/21/20|7:30:00|Dubai|SRH|RCB|RCB|SRH|10 runs|19|9.5|2|SRH|67.4
8|9/26/20|7:30:00|Abu Dhabi|KKR|SRH|KKR|SRH|7 wickets|29|9.5|2|SRH|57.47
11|9/29/20|7:30:00|Abu Dhabi|DC|SRH|SRH|DC|15 runs|85|9.5|2|SRH|56.86
14|10/2/20|7:30:00|Dubai|CSK|SRH|SRH|CSK|7 runs|10|9.5|2|SRH|77.75
17|10/4/20|3:30:00|Sharjah|MI|SRH|MI|SRH|34 runs|42|9.5|2|SRH|55.79
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|93|9.5|2|KXIP|63.94
26|10/11/20|3:30:00|Dubai|SRH|RR|RR|SRH|5 wickets|54|9.5|2|RR|71.23
29|10/13/20|7:30:00|Dubai|SRH|CSK|CSK|SRH|20 runs|21|9.5|2|CSK|75.02
35|10/18/20|3:30:00|Abu Dhabi|SRH|KKR|KKR|SRH|2 wickets)|30|9.5|2|KKR|73.98
40|10/22/20|7:30:00|Dubai|RR|SRH|SRH|RR|8 wickets|31|9.5|2|SRH|68.38
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|68|9.5|2|SRH|69.99
47|10/27/20|7:30:00|Dubai|SRH|DC|SRH|DC|88 runs|85|9.5|2|DC|71.62
