MatchNo|Date|Time|Venue|HomeTeam|AwayTeam|Winingteam|LosingTeam|Tally|Points|Credits|Type|Team|SelectionRate
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|35|8|1|CSK|12.35
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|10|8|1|KXIP|37.2
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|8|8|1|KKR|18.3
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|2|8|1|RR|61.4
18|10/4/20|7:30:00|Dubai|KXIP|CSK|CSK|KXIP|10 wickets|35|8|1|CSK|12.35
22|10/8/20|7:30:00|Dubai|SRH|KXIP|SRH|KXIP|69 runs|10|8|1|KXIP|37.2
24|10/10/20|3:30:00|Abu Dhabi|KXIP|KKR|KKR|KXIP|2 runs|8|8|1|KKR|18.3
43|10/24/20|7:30:00|Dubai|KXIP|SRH|KXIP|SRH|12 runs|30|8|1|SRH|18.79
46|10/26/20|7:30:00|Sharjah|KKR|KXIP|KXIP|KKR|8 wickets|90|8|1|KXIP|21.43
50|10/30/20|7:30:00|Abu Dhabi|KXIP|RR|RR|KXIP|7 wickets|2|8|1|RR|61.4
